url,name,price,num_reviews,Description,ASIN,Manufacturer,rating
https://www.amazon.in/Lenovo-Carrying-15-6-Inch-Toploader-GX40Q17230/dp/B075Y8294N/ref=sr_1_89?crid=2M096C61O4MLT&keywords=bags&qid=1690704371&sprefix=ba%2Caps%2C283&sr=8-89,Lenovo 15.6-inch Casual Laptop Briefcase T210,979,"4,344",,B075Y8294N,Lenovo,4.3
https://www.amazon.in/HARISSONS-Gator-Laptop-Messenger-Built/dp/B0BZMHKJVN/ref=sr_1_90?crid=2M096C61O4MLT&keywords=bags&qid=1690704371&sprefix=ba%2Caps%2C283&sr=8-90,"HARISSONS Gator Laptop Messenger Bag - 15.6 Inch Office Briefcase Bags 8 Ltrs with Built-in Organizer, Water-Resistant Zippers, PU Vegan Leather, Detachable Shoulder Strap, Dual Padded Handles",1874,5,,B0BZMHKJVN,Visit the HARISSONS Store,4.3
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NjY0NTgzMjUxMTQ0MjA1OjE2OTA3MDQzNzE6c3BfbXRmOjMwMDAxNTU4MDM0NjEzMjo6MDo6&url=%2FPLEXY-Backpack-ARTIFICAL-LEATHER-BAGPACK%2Fdp%2FB0CBQC6LPY%2Fref%3Dsr_1_91_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690704371%26sprefix%3Dba%252Caps%252C283%26sr%3D8-91-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,PLEXY Medium 28L Laptop Backpack FAUXY ARTIFICAL LEATHER LAPTOP BAGPACK,499,,,B0CBQC6LPY,PLEXY,
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NjY0NTgzMjUxMTQ0MjA1OjE2OTA3MDQzNzE6c3BfbXRmOjIwMDQxNjk1Njc2MzA2OjowOjo&url=%2FCosmus-Casual-Backpack-Charger-College%2Fdp%2FB08D7DTWLF%2Fref%3Dsr_1_92_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690704371%26sprefix%3Dba%252Caps%252C283%26sr%3D8-92-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Cosmus Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Dark Grey College Bag,1409,"1,415",,B08D7DTWLF,,4.2
https://www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QM2GD/ref=sr_1_93?crid=2M096C61O4MLT&keywords=bags&qid=1690704371&sprefix=ba%2Caps%2C283&sr=8-93,NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,630,506,"Care Instructions: Do not expose to extreme heat The Hype 1 Casual Backpack from Northzone Sport features an elegant look and feel. It is a perfect every day carry for speedy city commutes, college or school. Keeping it unique and stylish, this Northzone backpack features a versatile shaded design with the Northzone logo print on the face of the bag. Sturdy, spacious and elegant are the spirit of this backpack. Plenty of Space & Pockets: This college bags for girls and boys features two spacious compartments that can each fit book, iPad, A4 size files, lunch box, light clothes, school supplies & accessories. It also features a zip compartment with multiple organizer pockets for keys, pens, pencils, cell phone, power bank, etc. The twin mesh pockets on each side helps pack in a water bottle and a compact umbrella. Lightweight & Sturdy: This school bags for girls and boys features a multi ventilated 10mm robust mesh padding that provides maximum back support. The straps are breathable, padded and adjustable that helps to relieve the stress on your shoulder. The top of the backpack features a webbing loop top handle that helps in carrying the backpack with ease. External Dimension: Length – 33cm, Width – 21cm, Height – 49cm, Weight – 1,000 grams. Capacity – 34 litres. Laptop Compatibility – yes",B0BS6QM2GD,NORTH ZONE,4.0
https://www.amazon.in/Skybags-Unisex-Yellow-Fabric-Backpacks/dp/B0B21XM4KX/ref=sr_1_94?crid=2M096C61O4MLT&keywords=bags&qid=1690704371&sprefix=ba%2Caps%2C283&sr=8-94,Skybags Unisex Gucci Fabric Backpacks,584,279,,B0B21XM4KX,Skybags,4.2
https://www.amazon.in/Tabelito%C2%AE-Delta-Waterproof-Backpack-Compatible/dp/B0BLK1Z7DQ/ref=sr_1_95?crid=2M096C61O4MLT&keywords=bags&qid=1690704371&sprefix=ba%2Caps%2C283&sr=8-95,"Tabelito® DELTA Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, (6 Month Warranty)",599,193,,B0BLK1Z7DQ,Tabelito,4.5
https://www.amazon.in/POLE-STAR-Casual-Backpack-compartment/dp/B07D6NDHVG/ref=sr_1_96?crid=2M096C61O4MLT&keywords=bags&qid=1690704371&sprefix=ba%2Caps%2C283&sr=8-96,"POLESTAR Amaze 15.6 inch 30 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",549,"6,130","This quality casual day pack comes without any bells and whistles. The clean silhouette is fashionable and modern while still having a heritage feel. There’s nothing complicated on this bag, just a 2 spacious main chamber for books and binders plus a laptop compartment . Back small zipper pocket for tiny things . The product is made from polyester on the inside and outside It features : Lite in weight backpack with spacious compartments, soft shell, zipper closure, shoulder strap and is targeted towards both the genders",B07D6NDHVG,Visit the POLESTAR Store,4.0
https://www.amazon.in/F-Gear-Burner-Art-Lthr-Laptop-Backpack/dp/B085QWJVCZ/ref=sr_1_97?crid=2M096C61O4MLT&keywords=bags&qid=1690704371&sprefix=ba%2Caps%2C283&sr=8-97,F Gear 22 Ltrs Burner Art Lthr Brown Laptop Backpack (3343),870,372,F Gear 22 Ltrs Burner Art Lthr Brown Laptop Backpack (3343),B085QWJVCZ,Visit the F Gear Store,4.3
https://www.amazon.in/GoTrippin-Camping-Outdoors-Polyester-Adjustable/dp/B088LHS5LP/ref=sr_1_98?crid=2M096C61O4MLT&keywords=bags&qid=1690704371&sprefix=ba%2Caps%2C283&sr=8-98,"GoTrippin Waist Bags for Men Women- Premium Stitching, Branded Zippers, Waterproof pocket, RFID safe- Large Fanny pack for Hiking Travel Camping Running Sports Outdoors, Money Belt with Adjustable Strap (Polyester,Black)",999,"2,169",,B088LHS5LP,,4.5
https://www.amazon.in/PAZZO-Alto-40L-Casual-Backpack/dp/B07VT3F795/ref=sr_1_99?crid=2M096C61O4MLT&keywords=bags&qid=1690704371&sprefix=ba%2Caps%2C283&sr=8-99,"PAZZO Alto 40L Casual Backpack - 3 Compartment Travel Backpack, College|School Bag with 1 Year Warranty",849,"1,774",,B07VT3F795,Visit the PAZZO Store,4.0
https://www.amazon.in/Storite-Army-Print-Sling-GreenGrey/dp/B09KNMWWPH/ref=sr_1_100?crid=2M096C61O4MLT&keywords=bags&qid=1690704371&sprefix=ba%2Caps%2C283&sr=8-100,"Storite Small Size Army Print Padded Nylon Cross Body Sling bag Office Travel One Side Bag for Men Women (25x19x7cm, GreenGrey)",395,484,,{},,4.1
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NjY0NTgzMjUxMTQ0MjA1OjE2OTA3MDQzNzE6c3BfYnRmOjIwMDQzMzIxMTM2NjA2OjowOjo&url=%2FCOSMUS-Multipurpose-Backpack-Bag-compartment%2Fdp%2FB078JVT384%2Fref%3Dsr_1_101_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690704371%26sprefix%3Dba%252Caps%252C283%26sr%3D8-101-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L",1375,"2,269","Designed to give ultimate comfort, this school bag from Cosmus is a Multipurpose Backpack Bag use it as school bag or regular casual backpack for daily use.  This school bag is designed with copious space and sturdy shoulder straps to help children accommodate all essentials while on the move. Key Features High on quality and durability Attractive design Spacious to accommodate all essentials Two main compartment, two front compartment Two side Mesh pockets Specifications Material PU coated Polyester Fabric. Dimensions: 13 x 18 x 8.5 [inches] (WxHxD); Weight: 755 gms Suggestive Age - 8 Years+",{},Visit the COSMUS Store,4.2
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NjY0NTgzMjUxMTQ0MjA1OjE2OTA3MDQzNzE6c3BfYnRmOjMwMDAxNjYxODE5NjczMjo6MDo6&url=%2FZEBRONICS-Compartment-Backpacks-15-6-inch-Polyester%2Fdp%2FB0C6QNNPMM%2Fref%3Dsr_1_102_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690704371%26sprefix%3Dba%252Caps%252C283%26sr%3D8-102-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"ZEBRONICS Camp1, 14 Liters, 1 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop, Polyester Fabric, Office Use and Mini Business Travel Bags (Grey)",498,,"ZEBRONICS Camp1, 14 Liters, 1 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop, Polyester Fabric, Office Use and Mini Business Travel Bags (Grey)",B0C6QNNPMM,,
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2Nzg1OTUyNjk2MjAxOTYxOjE2OTA3MDQ0NDQ6c3BfYXRmX25leHQ6MzAwMDA2Nzg5Njc3NDMyOjowOjo&url=%2FWALKENT-Waterproof-Polyester-Material-Hazel%2Fdp%2FB0C7KP5BT4%2Fref%3Dsr_1_97_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690704444%26sprefix%3Dba%252Caps%252C283%26sr%3D8-97-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"WALKENT 15.6"" Laptop Bags with Special Waterproof Silk Polyester Material for Office, College, Men & Women (Model Hazel, 20 Liters, Black)",1990,,"Looking for a stylish and practical laptop bag? Look no further than WALKENT'S HAZEL laptop bag! Our Hazel bag features a sleek and modern design, while still providing all the functionality you need to stay organized and comfortable throughout your day. Here are some of its key features:✅ Waterproof and scratch resistant Special New Silk Polyester outer material that keeps your belongings safe from the elements✅ A spacious 20-liter capacity and lightweight 800-gram design make this bag perfect for daily use, whether you're commuting to work or heading to class✅ Side bottle pocket for easy access to your drink, as well as front pockets and organizer pockets inside the bag to keep all of your essentials at hand✅ Cushioned shoulder straps and laptop compartment keep you comfortable and your laptop protected✅ Trolley strap allows you to attach the Hazel to your luggage for easy transportationDon't settle for a boring, uninspired laptop bag. Upgrade to Walkent's Hazel bag and enjoy both style and functionality. It's the perfect choice for anyone looking for a premium quality laptop bag for office or college use, whether you're a man or a woman.",B0C7KP5BT4,Visit the WALKENT Store,
